,cell_type,batch,condition,donor,n_counts
cell_02745,Monocyte,batch_0,healthy,donor_2,1328
cell_02746,Monocyte,batch_2,disease,donor_3,1299
cell_02747,Monocyte,batch_0,healthy,donor_3,1340
cell_02748,Monocyte,batch_0,disease,donor_1,1287
cell_02749,Monocyte,batch_2,healthy,donor_4,1533
cell_02750,Monocyte,batch_2,disease,donor_5,1471
cell_02751,Monocyte,batch_0,healthy,donor_1,1393
cell_02752,Monocyte,batch_0,healthy,donor_2,1234
cell_02753,Monocyte,batch_0,disease,donor_5,1223
cell_02754,Monocyte,batch_0,healthy,donor_5,1311
cell_02755,Monocyte,batch_2,healthy,donor_5,1143
cell_02756,Monocyte,batch_0,disease,donor_0,1510
cell_02757,Monocyte,batch_0,healthy,donor_0,1237
cell_02758,Monocyte,batch_2,disease,donor_5,1233
cell_02759,Monocyte,batch_0,healthy,donor_0,1181
cell_02760,Monocyte,batch_1,disease,donor_5,1286
cell_02761,Monocyte,batch_2,healthy,donor_0,1244
cell_02762,Monocyte,batch_0,disease,donor_4,1450
cell_02763,Monocyte,batch_0,healthy,donor_1,1226
cell_02764,Monocyte,batch_0,disease,donor_5,1365
cell_02765,Monocyte,batch_0,disease,donor_3,1354
cell_02766,Monocyte,batch_1,healthy,donor_1,1382
cell_02767,Monocyte,batch_2,healthy,donor_2,1394
cell_02768,Monocyte,batch_0,healthy,donor_5,1296
cell_02769,Monocyte,batch_0,disease,donor_1,1127
cell_02770,Monocyte,batch_0,healthy,donor_4,1214
cell_02771,Monocyte,batch_1,disease,donor_5,1273
cell_02772,Monocyte,batch_2,disease,donor_5,1301
cell_02773,Monocyte,batch_1,healthy,donor_2,1200
cell_02774,Monocyte,batch_1,disease,donor_4,1341
cell_02775,Monocyte,batch_0,healthy,donor_3,1234
cell_02776,Monocyte,batch_0,disease,donor_2,1380
cell_02777,Monocyte,batch_2,healthy,donor_5,1222
cell_02778,Monocyte,batch_0,healthy,donor_1,1402
cell_02779,Monocyte,batch_2,healthy,donor_3,1315
cell_02780,Monocyte,batch_2,disease,donor_4,1318
cell_02781,Monocyte,batch_2,disease,donor_3,1325
cell_02782,Monocyte,batch_2,healthy,donor_2,1355
cell_02783,Monocyte,batch_1,healthy,donor_2,1334
cell_02784,Monocyte,batch_1,healthy,donor_2,1336
cell_02785,Monocyte,batch_0,disease,donor_2,1235
cell_02786,Monocyte,batch_1,healthy,donor_4,1455
cell_02787,Monocyte,batch_1,disease,donor_3,1380
cell_02788,Monocyte,batch_1,healthy,donor_4,1471
cell_02789,Monocyte,batch_0,healthy,donor_4,1410
cell_02790,Monocyte,batch_0,healthy,donor_2,1310
cell_02791,Monocyte,batch_1,healthy,donor_0,1199
cell_02792,Monocyte,batch_0,disease,donor_1,1353
cell_02793,Monocyte,batch_2,healthy,donor_3,1286
cell_02794,Monocyte,batch_2,disease,donor_5,1463
cell_02795,Monocyte,batch_1,healthy,donor_5,1468
cell_02796,Monocyte,batch_1,disease,donor_2,1293
cell_02797,Monocyte,batch_2,disease,donor_3,1413
cell_02798,Monocyte,batch_2,healthy,donor_2,1433
cell_02799,Monocyte,batch_2,healthy,donor_1,1529
cell_02800,Monocyte,batch_2,healthy,donor_1,1225
cell_02801,Monocyte,batch_1,healthy,donor_3,1442
cell_02802,Monocyte,batch_1,disease,donor_2,1238
cell_02803,Monocyte,batch_1,healthy,donor_5,1192
cell_02804,Monocyte,batch_0,healthy,donor_5,1336
cell_02805,Monocyte,batch_2,healthy,donor_2,1430
cell_02806,Monocyte,batch_1,disease,donor_2,1385
cell_02807,Monocyte,batch_0,healthy,donor_5,1218
cell_02808,Monocyte,batch_1,healthy,donor_5,1260
cell_02809,Monocyte,batch_0,disease,donor_3,1260
cell_02810,Monocyte,batch_2,healthy,donor_2,1390
cell_02811,Monocyte,batch_2,healthy,donor_2,1195
cell_02812,Monocyte,batch_2,healthy,donor_0,1344
cell_02813,Monocyte,batch_1,healthy,donor_4,1222
cell_02814,Monocyte,batch_2,healthy,donor_3,1206
cell_02815,Monocyte,batch_2,healthy,donor_3,1417
cell_02816,Monocyte,batch_1,disease,donor_5,1553
cell_02817,Monocyte,batch_0,healthy,donor_1,1171
cell_02818,Monocyte,batch_2,healthy,donor_3,1374
cell_02819,Monocyte,batch_1,disease,donor_4,1396
cell_02820,Monocyte,batch_2,healthy,donor_0,1282
cell_02821,Monocyte,batch_1,healthy,donor_4,1533
cell_02822,Monocyte,batch_1,disease,donor_1,1338
cell_02823,Monocyte,batch_0,disease,donor_5,1394
cell_02824,Monocyte,batch_0,healthy,donor_3,1278
cell_02825,Monocyte,batch_2,healthy,donor_1,1397
cell_02826,Monocyte,batch_0,healthy,donor_5,1295
cell_02827,Monocyte,batch_1,disease,donor_4,1149
cell_02828,Monocyte,batch_1,healthy,donor_1,1168
cell_02829,Monocyte,batch_1,healthy,donor_5,1297
cell_02830,Monocyte,batch_2,disease,donor_4,1324
cell_02831,Monocyte,batch_2,healthy,donor_2,1249
cell_02832,Monocyte,batch_2,healthy,donor_3,1437
cell_02833,Monocyte,batch_2,disease,donor_3,1349
cell_02834,Monocyte,batch_0,disease,donor_5,1345
cell_02835,Monocyte,batch_1,healthy,donor_1,1319
cell_02836,Monocyte,batch_1,healthy,donor_2,1381
cell_02837,Monocyte,batch_0,healthy,donor_1,1288
cell_02838,Monocyte,batch_1,disease,donor_5,1255
cell_02839,Monocyte,batch_0,healthy,donor_0,1417
cell_02840,Monocyte,batch_1,disease,donor_4,1341
cell_02841,Monocyte,batch_0,disease,donor_4,1313
cell_02842,Monocyte,batch_2,healthy,donor_3,1425
cell_02843,Monocyte,batch_1,healthy,donor_1,1321
cell_02844,Monocyte,batch_1,disease,donor_3,1362
cell_02845,Monocyte,batch_0,healthy,donor_5,1221
cell_02846,Monocyte,batch_2,healthy,donor_1,1432
cell_02847,Monocyte,batch_2,healthy,donor_0,1428
cell_02848,Monocyte,batch_0,healthy,donor_3,1359
cell_02849,Monocyte,batch_2,healthy,donor_2,1273
cell_02850,Monocyte,batch_0,healthy,donor_4,1235
cell_02851,Monocyte,batch_1,healthy,donor_5,1333
cell_02852,Monocyte,batch_0,disease,donor_1,1431
cell_02853,Monocyte,batch_1,healthy,donor_0,1348
cell_02854,Monocyte,batch_0,healthy,donor_1,1162
cell_02855,Monocyte,batch_0,healthy,donor_4,1218
cell_02856,Monocyte,batch_2,healthy,donor_3,1190
cell_02857,Monocyte,batch_0,disease,donor_1,1154
cell_02858,Monocyte,batch_2,disease,donor_3,1332
cell_02859,Monocyte,batch_2,healthy,donor_5,1368
cell_02860,Monocyte,batch_0,healthy,donor_2,1277
cell_02861,Monocyte,batch_1,healthy,donor_1,1476
cell_02862,Monocyte,batch_0,healthy,donor_4,1279
cell_02863,Monocyte,batch_1,healthy,donor_3,1427
cell_02864,Monocyte,batch_0,healthy,donor_0,1243
cell_02865,Monocyte,batch_0,healthy,donor_2,1321
cell_02866,Monocyte,batch_0,healthy,donor_0,1290
cell_02867,Monocyte,batch_2,healthy,donor_1,1444
cell_02868,Monocyte,batch_2,disease,donor_5,1457
cell_02869,Monocyte,batch_2,healthy,donor_3,1205
cell_02870,Monocyte,batch_1,disease,donor_3,1448
cell_02871,Monocyte,batch_1,disease,donor_4,1348
cell_02872,Monocyte,batch_1,disease,donor_3,1369
cell_02873,Monocyte,batch_2,healthy,donor_5,1481
cell_02874,Monocyte,batch_0,disease,donor_2,1169
cell_02875,Monocyte,batch_2,disease,donor_1,1347
cell_02876,Monocyte,batch_2,disease,donor_5,1543
cell_02877,Monocyte,batch_2,disease,donor_4,1356
cell_02878,Monocyte,batch_1,disease,donor_1,1387
cell_02879,Monocyte,batch_1,healthy,donor_4,1318
cell_02880,Monocyte,batch_1,healthy,donor_5,1297
cell_02881,Monocyte,batch_2,healthy,donor_4,1438
cell_02882,Monocyte,batch_2,disease,donor_0,1236
cell_02883,Monocyte,batch_0,healthy,donor_2,1294
cell_02884,Monocyte,batch_0,healthy,donor_2,1284
cell_02885,Monocyte,batch_1,disease,donor_3,1338
cell_02886,Monocyte,batch_1,disease,donor_3,1279
cell_02887,Monocyte,batch_1,healthy,donor_0,1131
cell_02888,Monocyte,batch_1,healthy,donor_0,1148
cell_02889,Monocyte,batch_2,healthy,donor_5,1354
cell_02890,Monocyte,batch_0,healthy,donor_3,1416
cell_02891,Monocyte,batch_2,healthy,donor_4,1260
cell_02892,Monocyte,batch_0,healthy,donor_2,1336
cell_02893,Monocyte,batch_2,healthy,donor_2,1387
cell_02894,Monocyte,batch_0,disease,donor_5,1430
cell_02895,Monocyte,batch_0,healthy,donor_4,1260
cell_02896,Monocyte,batch_0,disease,donor_1,1287
cell_02897,Monocyte,batch_2,healthy,donor_1,1477
cell_02898,Monocyte,batch_0,disease,donor_2,1364
cell_02899,Monocyte,batch_0,disease,donor_0,1186
cell_02900,Monocyte,batch_1,disease,donor_1,1275
cell_02901,Monocyte,batch_0,disease,donor_4,1320
cell_02902,Monocyte,batch_2,healthy,donor_4,1180
cell_02903,Monocyte,batch_1,disease,donor_1,1366
cell_02904,Monocyte,batch_0,disease,donor_2,1358
cell_02905,Monocyte,batch_1,healthy,donor_5,1279
cell_02906,Monocyte,batch_2,disease,donor_2,1273
cell_02907,Monocyte,batch_1,healthy,donor_5,1315
cell_02908,Monocyte,batch_0,disease,donor_4,1151
cell_02909,Monocyte,batch_0,healthy,donor_3,1303
cell_02910,Monocyte,batch_0,disease,donor_2,1312
cell_02911,Monocyte,batch_1,healthy,donor_4,1346
cell_02912,Monocyte,batch_2,disease,donor_3,1299
cell_02913,Monocyte,batch_2,healthy,donor_3,1270
cell_02914,Monocyte,batch_1,healthy,donor_2,1163
cell_02915,Monocyte,batch_1,healthy,donor_2,1033
cell_02916,Monocyte,batch_1,healthy,donor_4,1355
cell_02917,Monocyte,batch_0,disease,donor_4,1408
cell_02918,Monocyte,batch_0,disease,donor_3,1345
cell_02919,Monocyte,batch_0,healthy,donor_2,1524
cell_02920,Monocyte,batch_2,healthy,donor_4,1425
cell_02921,Monocyte,batch_0,disease,donor_5,1331
cell_02922,Monocyte,batch_2,healthy,donor_4,1140
cell_02923,Monocyte,batch_2,healthy,donor_3,1177
cell_02924,Monocyte,batch_2,healthy,donor_0,1291
cell_02925,Monocyte,batch_1,healthy,donor_2,1509
cell_02926,Monocyte,batch_1,healthy,donor_3,1209
cell_02927,Monocyte,batch_1,disease,donor_5,1399
cell_02928,Monocyte,batch_1,healthy,donor_1,1314
cell_02929,Monocyte,batch_0,disease,donor_2,1494
cell_02930,Monocyte,batch_2,healthy,donor_3,1264
cell_02931,Monocyte,batch_0,healthy,donor_4,1242
cell_02932,Monocyte,batch_0,healthy,donor_1,1409
cell_02933,Monocyte,batch_1,disease,donor_3,1205
cell_02934,Monocyte,batch_1,disease,donor_4,1348
cell_02935,Monocyte,batch_0,healthy,donor_1,1139
cell_02936,Monocyte,batch_0,disease,donor_0,1372
cell_02937,Monocyte,batch_0,disease,donor_3,1354
cell_02938,Monocyte,batch_1,healthy,donor_0,1411
cell_02939,Monocyte,batch_1,healthy,donor_2,1409
cell_02940,Monocyte,batch_0,healthy,donor_1,1456
cell_02941,Monocyte,batch_2,healthy,donor_5,1456
cell_02942,Monocyte,batch_1,healthy,donor_0,1341
cell_02943,Monocyte,batch_1,healthy,donor_4,1166
cell_02944,Monocyte,batch_0,disease,donor_3,1317
cell_02945,Monocyte,batch_0,disease,donor_2,1410
cell_02946,Monocyte,batch_0,healthy,donor_4,1406
cell_02947,Monocyte,batch_2,disease,donor_2,1380
cell_02948,Monocyte,batch_2,disease,donor_4,1285
cell_02949,Monocyte,batch_2,disease,donor_4,1156
cell_02950,Monocyte,batch_0,healthy,donor_1,1389
cell_02951,Monocyte,batch_0,disease,donor_5,1150
cell_02952,Monocyte,batch_1,healthy,donor_5,1415
cell_02953,Monocyte,batch_0,healthy,donor_5,1210
cell_02954,Monocyte,batch_0,disease,donor_2,1341
cell_02955,Monocyte,batch_2,healthy,donor_2,1357
cell_02956,Monocyte,batch_0,healthy,donor_4,1261
cell_02957,Monocyte,batch_2,healthy,donor_2,1234
cell_02958,Monocyte,batch_1,healthy,donor_3,1341
cell_02959,Monocyte,batch_0,disease,donor_2,1351
cell_02960,Monocyte,batch_1,disease,donor_0,1293
cell_02961,Monocyte,batch_0,healthy,donor_0,1202
cell_02962,Monocyte,batch_1,disease,donor_0,1237
cell_02963,Monocyte,batch_1,healthy,donor_5,1534
cell_02964,Monocyte,batch_0,healthy,donor_5,1233
cell_02965,Monocyte,batch_0,healthy,donor_3,1250
cell_02966,Monocyte,batch_2,healthy,donor_1,1441
cell_02967,Monocyte,batch_1,healthy,donor_1,1302
cell_02968,Monocyte,batch_1,healthy,donor_5,1382
cell_02969,Monocyte,batch_1,healthy,donor_1,1172
cell_02970,Monocyte,batch_0,disease,donor_3,1320
cell_02971,Monocyte,batch_2,disease,donor_1,1234
cell_02972,Monocyte,batch_2,healthy,donor_4,1350
cell_02973,Monocyte,batch_0,healthy,donor_0,1541
cell_02974,Monocyte,batch_2,healthy,donor_1,1416
cell_02975,Monocyte,batch_0,healthy,donor_5,1267
cell_02976,Monocyte,batch_1,disease,donor_5,1213
cell_02977,Monocyte,batch_2,healthy,donor_2,1447
cell_02978,Monocyte,batch_2,healthy,donor_4,1273
cell_02979,Monocyte,batch_2,healthy,donor_3,1296
cell_02980,Monocyte,batch_2,healthy,donor_3,1166
cell_02981,Monocyte,batch_1,healthy,donor_1,1284
cell_02982,Monocyte,batch_2,healthy,donor_0,1317
cell_02983,Monocyte,batch_0,healthy,donor_4,1323
cell_02984,Monocyte,batch_1,disease,donor_0,1466
cell_02985,Monocyte,batch_0,disease,donor_0,1254
cell_02986,Monocyte,batch_1,healthy,donor_1,1210
cell_02987,Monocyte,batch_0,disease,donor_1,1398
cell_02988,Monocyte,batch_2,disease,donor_5,1360
cell_02989,Monocyte,batch_2,healthy,donor_1,1235
cell_02990,Monocyte,batch_2,healthy,donor_3,1406
cell_02991,Monocyte,batch_1,healthy,donor_0,1236
cell_02992,Monocyte,batch_2,disease,donor_2,1272
cell_02993,Monocyte,batch_0,disease,donor_0,1301
cell_02994,Monocyte,batch_1,disease,donor_5,1278
cell_02995,Monocyte,batch_0,healthy,donor_2,1295
cell_02996,Monocyte,batch_2,disease,donor_3,1303
cell_02997,Monocyte,batch_2,healthy,donor_3,1326
cell_02998,Monocyte,batch_1,healthy,donor_5,1314
cell_02999,Monocyte,batch_1,healthy,donor_1,1361
cell_03000,Monocyte,batch_2,disease,donor_0,1255
cell_03001,Monocyte,batch_0,disease,donor_0,1191
cell_03002,Monocyte,batch_0,disease,donor_0,1374
cell_03003,Monocyte,batch_0,healthy,donor_4,1359
cell_03004,Monocyte,batch_2,healthy,donor_5,1267
cell_03005,Monocyte,batch_1,healthy,donor_0,1403
cell_03006,Monocyte,batch_1,disease,donor_4,1350
cell_03007,Monocyte,batch_0,healthy,donor_4,1359
cell_03008,Monocyte,batch_2,healthy,donor_1,1286
cell_03009,Monocyte,batch_1,disease,donor_1,1391
cell_03010,Monocyte,batch_1,disease,donor_3,1364
cell_03011,Monocyte,batch_1,disease,donor_3,1215
cell_03012,Monocyte,batch_1,healthy,donor_3,1464
cell_03013,Monocyte,batch_0,disease,donor_4,1262
cell_03014,Monocyte,batch_2,healthy,donor_3,1415
cell_03015,Monocyte,batch_1,healthy,donor_4,1360
cell_03016,Monocyte,batch_2,disease,donor_1,1437
cell_03017,Monocyte,batch_2,disease,donor_0,1330
cell_03018,Monocyte,batch_0,healthy,donor_5,1198
cell_03019,Monocyte,batch_1,disease,donor_2,1372
cell_03020,Monocyte,batch_2,healthy,donor_4,1356
cell_03021,Monocyte,batch_2,disease,donor_4,1250
cell_03022,Monocyte,batch_1,healthy,donor_1,1266
cell_03023,Monocyte,batch_1,disease,donor_5,1426
cell_03024,Monocyte,batch_2,healthy,donor_4,1349
cell_03025,Monocyte,batch_0,disease,donor_3,1568
cell_03026,Monocyte,batch_2,disease,donor_4,1282
cell_03027,Monocyte,batch_1,healthy,donor_1,1334
cell_03028,Monocyte,batch_2,healthy,donor_1,1300
cell_03029,Monocyte,batch_1,disease,donor_0,1355
cell_03030,Monocyte,batch_1,disease,donor_4,1195
cell_03031,Monocyte,batch_0,healthy,donor_1,1308
cell_03032,Monocyte,batch_0,healthy,donor_3,1250
cell_03033,Monocyte,batch_0,healthy,donor_2,1280
cell_03034,Monocyte,batch_1,healthy,donor_0,1203
cell_03035,Monocyte,batch_0,healthy,donor_4,1484
cell_03036,Monocyte,batch_0,healthy,donor_1,1292
cell_03037,Monocyte,batch_1,healthy,donor_2,1271
cell_03038,Monocyte,batch_1,healthy,donor_2,1484
cell_03039,Monocyte,batch_1,disease,donor_1,1334
cell_03040,Monocyte,batch_1,healthy,donor_3,1313
cell_03041,Monocyte,batch_1,healthy,donor_3,1445
cell_03042,Monocyte,batch_2,healthy,donor_3,1264
cell_03043,Monocyte,batch_1,healthy,donor_0,1205
cell_03044,Monocyte,batch_1,healthy,donor_5,1269
cell_03045,Monocyte,batch_2,healthy,donor_4,1443
cell_03046,Monocyte,batch_0,healthy,donor_2,1390
cell_03047,Monocyte,batch_0,healthy,donor_4,1463
cell_03048,Monocyte,batch_2,disease,donor_2,1314
cell_03049,Monocyte,batch_1,healthy,donor_0,1257
cell_03050,Monocyte,batch_0,healthy,donor_5,1289
cell_03051,Monocyte,batch_0,disease,donor_2,1375
cell_03052,Monocyte,batch_2,healthy,donor_2,1241
cell_03053,Monocyte,batch_0,healthy,donor_3,1272
cell_03054,Monocyte,batch_2,healthy,donor_5,1324
cell_03055,Monocyte,batch_0,healthy,donor_3,1339
cell_03056,Monocyte,batch_2,healthy,donor_5,1257
cell_03057,Monocyte,batch_1,healthy,donor_0,1577
cell_03058,Monocyte,batch_1,disease,donor_1,1399
cell_03059,Monocyte,batch_2,disease,donor_1,1334
cell_03060,Monocyte,batch_2,disease,donor_2,1250
cell_03061,Monocyte,batch_1,healthy,donor_5,1347
cell_03062,Monocyte,batch_2,healthy,donor_5,1348
cell_03063,Monocyte,batch_1,disease,donor_0,1380
cell_03064,Monocyte,batch_1,disease,donor_1,1240
cell_03065,Monocyte,batch_2,healthy,donor_3,1148
cell_03066,Monocyte,batch_1,healthy,donor_4,1404
cell_03067,Monocyte,batch_0,disease,donor_2,1224
cell_03068,Monocyte,batch_1,healthy,donor_3,1375
cell_03069,Monocyte,batch_1,healthy,donor_4,1279
cell_03070,Monocyte,batch_2,healthy,donor_4,1255
cell_03071,Monocyte,batch_0,healthy,donor_4,1315
cell_03072,Monocyte,batch_2,disease,donor_4,1372
cell_03073,Monocyte,batch_1,disease,donor_4,1362
cell_03074,Monocyte,batch_2,healthy,donor_0,1323
cell_03075,Monocyte,batch_0,healthy,donor_4,1270
cell_03076,Monocyte,batch_0,healthy,donor_2,1175
cell_03077,Monocyte,batch_0,healthy,donor_4,1238
cell_03078,Monocyte,batch_2,healthy,donor_1,1345
cell_03079,Monocyte,batch_0,disease,donor_4,1423
cell_03080,Monocyte,batch_0,healthy,donor_5,1357
cell_03081,Monocyte,batch_1,disease,donor_3,1449
cell_03082,Monocyte,batch_2,healthy,donor_2,1201
cell_03083,Monocyte,batch_2,disease,donor_2,1150
cell_03084,Monocyte,batch_1,healthy,donor_2,1233
cell_03085,Monocyte,batch_0,disease,donor_5,1266
cell_03086,Monocyte,batch_0,healthy,donor_0,1455
cell_03087,Monocyte,batch_0,disease,donor_3,1412
cell_03088,Monocyte,batch_1,healthy,donor_0,1141
cell_03089,Monocyte,batch_2,disease,donor_1,1322
cell_03090,Monocyte,batch_1,healthy,donor_1,1304
cell_03091,Monocyte,batch_2,healthy,donor_2,1251
cell_03092,Monocyte,batch_0,healthy,donor_1,1225
cell_03093,Monocyte,batch_1,healthy,donor_5,1383
cell_03094,Monocyte,batch_0,healthy,donor_5,1351
cell_03095,Monocyte,batch_2,healthy,donor_3,1336
cell_03096,Monocyte,batch_1,disease,donor_2,1294
cell_03097,Monocyte,batch_0,healthy,donor_0,1150
cell_03098,Monocyte,batch_2,healthy,donor_3,1307
cell_03099,Monocyte,batch_0,healthy,donor_2,1232
cell_03100,Monocyte,batch_2,disease,donor_0,1311
cell_03101,Monocyte,batch_0,healthy,donor_3,1296
cell_03102,Monocyte,batch_2,healthy,donor_0,1344
cell_03103,Monocyte,batch_0,disease,donor_4,1382
cell_03104,Monocyte,batch_2,disease,donor_0,1360
cell_03105,Monocyte,batch_0,healthy,donor_2,1242
cell_03106,Monocyte,batch_2,disease,donor_1,1303
cell_03107,Monocyte,batch_1,healthy,donor_5,1426
cell_03108,Monocyte,batch_1,healthy,donor_3,1300
cell_03109,Monocyte,batch_1,healthy,donor_1,1325
cell_03110,Monocyte,batch_2,healthy,donor_2,1537
cell_03111,Monocyte,batch_0,healthy,donor_3,1268
cell_03112,Monocyte,batch_1,healthy,donor_1,1450
cell_03113,Monocyte,batch_0,healthy,donor_4,1291
cell_03114,Monocyte,batch_0,disease,donor_0,1060
cell_03115,Monocyte,batch_1,healthy,donor_5,1326
cell_03116,Monocyte,batch_0,disease,donor_1,1212
cell_03117,Monocyte,batch_1,healthy,donor_3,1455
cell_03118,Monocyte,batch_0,healthy,donor_5,1370
cell_03119,Monocyte,batch_0,healthy,donor_5,1179
cell_03120,Monocyte,batch_1,disease,donor_4,1387
cell_03121,Monocyte,batch_2,disease,donor_4,1274
cell_03122,Monocyte,batch_2,healthy,donor_2,1324
cell_03123,Monocyte,batch_0,healthy,donor_0,1392
cell_03124,Monocyte,batch_2,healthy,donor_2,1514
cell_03125,Monocyte,batch_0,disease,donor_1,1206
cell_03126,Monocyte,batch_2,disease,donor_1,1509
cell_03127,Monocyte,batch_2,healthy,donor_0,1123
cell_03128,Monocyte,batch_1,healthy,donor_0,1388
cell_03129,Monocyte,batch_2,healthy,donor_5,1320
cell_03130,Monocyte,batch_1,healthy,donor_4,1367
cell_03131,Monocyte,batch_2,disease,donor_5,1325
cell_03132,Monocyte,batch_0,disease,donor_1,1416
cell_03133,Monocyte,batch_2,disease,donor_5,1239
cell_03134,Monocyte,batch_1,healthy,donor_4,1446
cell_03135,Monocyte,batch_0,healthy,donor_0,1271
cell_03136,Monocyte,batch_1,healthy,donor_0,1321
cell_03137,Monocyte,batch_1,healthy,donor_4,1305
cell_03138,Monocyte,batch_2,healthy,donor_2,1303
cell_03139,Monocyte,batch_1,healthy,donor_3,1301
cell_03140,Monocyte,batch_1,healthy,donor_2,1463
cell_03141,Monocyte,batch_0,healthy,donor_2,1318
cell_03142,Monocyte,batch_0,healthy,donor_3,1409
cell_03143,Monocyte,batch_2,healthy,donor_3,1150
cell_03144,Monocyte,batch_0,healthy,donor_2,1458
cell_03145,Monocyte,batch_0,disease,donor_4,1362
cell_03146,Monocyte,batch_2,disease,donor_0,1351
cell_03147,Monocyte,batch_0,healthy,donor_3,1343
cell_03148,Monocyte,batch_1,healthy,donor_3,1382
cell_03149,Monocyte,batch_1,healthy,donor_4,1355
cell_03150,Monocyte,batch_2,healthy,donor_4,1366
cell_03151,Monocyte,batch_2,disease,donor_5,1483
cell_03152,Monocyte,batch_1,healthy,donor_3,1381
cell_03153,Monocyte,batch_2,healthy,donor_5,1537
cell_03154,Monocyte,batch_0,healthy,donor_4,1222
cell_03155,Monocyte,batch_2,disease,donor_4,1395
cell_03156,Monocyte,batch_1,disease,donor_4,1341
cell_03157,Monocyte,batch_1,healthy,donor_3,1412
cell_03158,Monocyte,batch_2,disease,donor_0,1275
cell_03159,Monocyte,batch_0,disease,donor_3,1295
cell_03160,Monocyte,batch_0,healthy,donor_0,1364
cell_03161,Monocyte,batch_1,healthy,donor_2,1222
cell_03162,Monocyte,batch_1,disease,donor_1,1464
cell_03163,Monocyte,batch_0,healthy,donor_2,1141
cell_03164,Monocyte,batch_0,healthy,donor_4,1360
cell_03165,Monocyte,batch_2,healthy,donor_1,1259
cell_03166,Monocyte,batch_0,healthy,donor_4,1384
cell_03167,Monocyte,batch_0,healthy,donor_0,1320
cell_03168,Monocyte,batch_0,disease,donor_2,1309
cell_03169,Monocyte,batch_2,disease,donor_5,1349
cell_03170,Monocyte,batch_1,disease,donor_0,1263
cell_03171,Monocyte,batch_1,healthy,donor_2,1331
cell_03172,Monocyte,batch_1,healthy,donor_4,1299
cell_03173,Monocyte,batch_0,healthy,donor_5,1273
cell_03174,Monocyte,batch_1,healthy,donor_3,1317
cell_03175,Monocyte,batch_2,healthy,donor_2,1341
cell_03176,Monocyte,batch_0,healthy,donor_3,1248
